timestamp,host,event_type,event_description
2024-07-25 00:01:00,server1,login,User admin logged in
2024-07-25 00:15:32,server2,logout,User guest logged out
2024-07-25 00:30:21,server3,error,Failed login attempt
2024-07-25 01:45:10,server1,login,User guest logged in
2024-07-25 02:21:19,server2,login,User admin logged in
2024-07-25 03:33:45,server3,logout,User admin logged out
2024-07-25 04:50:00,server1,error,Database connection failed
2024-07-25 05:01:23,server2,login,User admin logged in
2024-07-25 06:15:56,server3,login,User guest logged in
2024-07-25 07:45:12,server1,logout,User guest logged out
2024-07-25 08:00:23,server2,error,Application crashed
2024-07-25 09:30:40,server3,login,User admin logged in
2024-07-25 10:12:33,server1,login,User guest logged in
2024-07-25 11:54:25,server2,logout,User admin logged out
2024-07-25 12:01:00,server3,error,Failed login attempt
2024-07-25 13:45:32,server1,login,User admin logged in
2024-07-25 14:30:21,server2,login,User guest logged in
2024-07-25 15:45:10,server3,logout,User guest logged out
2024-07-25 16:21:19,server1,login,User admin logged in
2024-07-25 17:33:45,server2,error,Database connection failed
2024-07-25 18:50:00,server3,login,User guest logged in
2024-07-25 19:01:23,server1,logout,User admin logged out
2024-07-25 20:15:56,server2,error,Application crashed
2024-07-25 21:45:12,server3,login,User admin logged in
2024-07-25 22:00:23,server1,login,User guest logged in
2024-07-25 23:30:40,server2,logout,User guest logged out
2024-07-25 23:45:32,server3,error,Failed login attempt
2024-07-26 00:01:00,server1,login,User admin logged in
2024-07-26 01:15:32,server2,logout,User guest logged out
2024-07-26 02:30:21,server3,error,Failed login attempt
2024-07-26 03:45:10,server1,login,User guest logged in
2024-07-26 04:21:19,server2,login,User admin logged in
2024-07-26 05:33:45,server3,logout,User admin logged out
2024-07-26 06:50:00,server1,error,Database connection failed
2024-07-26 07:01:23,server2,login,User admin logged in
2024-07-26 08:15:56,server3,login,User guest logged in
2024-07-26 09:45:12,server1,logout,User guest logged out
2024-07-26 10:00:23,server2,error,Application crashed
2024-07-26 11:30:40,server3,login,User admin logged in
2024-07-26 12:12:33,server1,login,User guest logged in
2024-07-26 13:54:25,server2,logout,User admin logged out
2024-07-26 14:01:00,server3,error,Failed login attempt
2024-07-26 15:45:32,server1,login,User admin logged in
2024-07-26 16:30:21,server2,login,User guest logged in
2024-07-26 17:45:10,server3,logout,User guest logged out
2024-07-26 18:21:19,server1,login,User admin logged in
2024-07-26 19:33:45,server2,error,Database connection failed
2024-07-26 20:50:00,server3,login,User guest logged in
2024-07-26 21:01:23,server1,logout,User admin logged out
2024-07-26 22:15:56,server2,error,Application crashed
2024-07-26 23:45:12,server3,login,User admin logged in
2024-07-27 00:00:23,server1,login,User guest logged in
2024-07-27 01:30:40,server2,logout,User guest logged out
2024-07-27 02:45:32,server3,error,Failed login attempt
2024-07-27 03:01:00,server1,login,User admin logged in
2024-07-27 04:15:32,server2,logout,User guest logged out
2024-07-27 05:30:21,server3,error,Failed login attempt
2024-07-27 06:45:10,server1,login,User guest logged in
2024-07-27 07:21:19,server2,login,User admin logged in
2024-07-27 08:33:45,server3,logout,User admin logged out
2024-07-27 09:50:00,server1,error,Database connection failed
2024-07-27 10:01:23,server2,login,User admin logged in
2024-07-27 11:15:56,server3,login,User guest logged in
2024-07-27 12:45:12,server1,logout,User guest logged out
2024-07-27 13:00:23,server2,error,Application crashed
2024-07-27 14:30:40,server3,login,User admin logged in
2024-07-27 15:12:33,server1,login,User guest logged in
2024-07-27 16:54:25,server2,logout,User admin logged out
2024-07-27 17:01:00,server3,error,Failed login attempt
2024-07-27 18:45:32,server1,login,User admin logged in
2024-07-27 19:30:21,server2,login,User guest logged in
2024-07-27 20:45:10,server3,logout,User guest logged out
2024-07-27 21:21:19,server1,login,User admin logged in
2024-07-27 22:33:45,server2,error,Database connection failed
2024-07-27 23:50:00,server3,login,User guest logged in
2024-07-28 00:01:23,server1,logout,User admin logged out
2024-07-28 01:15:56,server2,error,Application crashed
2024-07-28 02:45:12,server3,login,User admin logged in
2024-07-28 03:00:23,server1,login,User guest logged in
2024-07-28 04:30:40,server2,logout,User guest logged out
2024-07-28 05:45:32,server3,error,Failed login attempt
2024-07-28 06:01:00,server1,login,User admin logged in
2024-07-28 07:15:32,server2,logout,User guest logged out
2024-07-28 08:30:21,server3,error,Failed login attempt
2024-07-28 09:45:10,server1,login,User guest logged in
2024-07-28 10:21:19,server2,login,User admin logged in
2024-07-28 11:33:45,server3,logout,User admin logged out
2024-07-28 12:50:00,server1,error,Database connection failed
2024-07-28 13:01:23,server2,login,User admin logged in
2024-07-28 14:15:56,server3,login,User guest logged in
2024-07-28 15:45:12,server1,logout,User guest logged out
2024-07-28 16:00:23,server2,error,Application crashed
2024-07-28 17:30:40,server3,login,User admin logged in
2024-07-28 18:12:33,server1,login,User guest logged in
2024-07-28 19:54:25,server2,logout,User admin logged out
2024-07-28 20:01:00,server3,error,Failed login attempt
2024-07-28 21:45:32,server1,login,User admin logged in
2024-07-28 22:30:21,server2,login,User guest logged in
2024-07-28 23:45:10,server3,logout,User guest logged out
2024-07-29 00:01:00,server1,login,User admin logged in
2024-07-29 01:15:32,server2,logout,User guest logged out
2024-07-29 02:30:21,server3,error,Failed login attempt
2024-07-29 03:45:10,server1,login,User guest logged in
2024-07-29 04:21:19,server2,login,User admin logged in
2024-07-29 05:33:45,server3,logout,User admin logged out
2024-07-29 06:50:00,server1,error,Database connection failed
2024-07-29 07:01:23,server2,login,User admin logged in
2024-07-29 08:15:56,server3,login,User guest logged in
2024-07-29 09:45:12,server1,logout,User guest logged out
2024-07-29 10:00:23,server2,error,Application crashed
2024-07-29 11:30:40,server3,login,User admin logged in
2024-07-29 12:12:33,server1,login,User guest logged in
2024-07-29 13:54:25,server2,logout,User admin logged out
2024-07-29 14:01:00,server3,error,Failed login attempt
2024-07-29 15:45:32,server1,login,User admin logged in
2024-07-29 16:30:21,server2,login,User guest logged in
2024-07-29 17:45:10,server3,logout,User guest logged out
2024-07-29 18:21:19,server1,login,User admin logged in
2024-07-29 19:33:45,server2,error,Database connection failed
2024-07-29 20:50:00,server3,login,User guest logged in
2024-07-29 21:01:23,server1,logout,User admin logged out
2024-07-29 22:15:56,server2,error,Application crashed
2024-07-29 23:45:12,server3,login,User admin logged in
2024-07-30 00:00:23,server1,login,User guest logged in
2024-07-30 01:30:40,server2,logout,User guest logged out
2024-07-30 02:45:32,server3,error,Failed login attempt
2024-07-30 03:01:00,server1,login,User admin logged in
2024-07-30 04:15:32,server2,logout,User guest logged out
2024-07-30 05:30:21,server3,error,Failed login attempt
2024-07-30 06:45:10,server1,login,User guest logged in
2024-07-30 07:21:19,server2,login,User admin logged in
2024-07-30 08:33:45,server3,logout,User admin logged out
2024-07-30 09:50:00,server1,error,Database connection failed
2024-07-30 10:01:23,server2,login,User admin logged in
2024-07-30 11:15:56,server3,login,User guest logged in
2024-07-30 12:45:12,server1,logout,User guest logged out
2024-07-30 13:00:23,server2,error,Application crashed
2024-07-30 14:30:40,server3,login,User admin logged in
2024-07-30 15:12:33,server1,login,User guest logged in
2024-07-30 16:54:25,server2,logout,User admin logged out
2024-07-30 17:01:00,server3,error,Failed login attempt
2024-07-30 18:45:32,server1,login,User admin logged in
2024-07-30 19:30:21,server2,login,User guest logged in
2024-07-30 20:45:10,server3,logout,User guest logged out
2024-07-30 21:21:19,server1,login,User admin logged in
2024-07-30 22:33:45,server2,error,Database connection failed
2024-07-30 23:50:00,server3,login,User guest logged in